Date,Price_brent-daily,Price_dubai-crude,Open_dubai-crude,High_dubai-crude,Low_dubai-crude,Price_Gold-Price,Open_Gold-Price,High_Gold-Price,Low_Gold-Price,Price_wti-daily
2020-09-14,-1.6147879720392924,-1.4330933813463513,-1.433093145574492,-1.433093145574492,-1.433093145574492,2.3698403524161002,2.337683076701826,2.3419103711304174,2.3694271704037275,-1.5540135990454582
2020-09-15,-1.5293324385259677,-1.3833379325766872,-1.3833377231563264,-1.3833377231563264,-1.3833377231563264,2.3781701484955096,2.3856698523881716,2.3858952368096484,2.4003519933849145,-1.4505399942835033
2020-09-16,-1.380445993538835,-1.301333581826685,-1.3013334158374978,-1.3013334158374978,-1.3013334158374978,2.386358761590522,2.381294587546181,2.3769301686457287,2.4277140487415405,-1.2670207707434324
2020-09-17,-1.2817756868017998,-1.2607921050514024,-1.2607919605338067,-1.2607919605338067,-1.2607919605338067,2.332991593488543,2.3673219675669217,2.3229996804721496,2.348620607476293,-1.1869751519653164
2020-09-18,-1.298514399551833,-1.261713502250841,-1.2617133572452548,-1.2617133572452548,-1.2617133572452548,2.3705462673380837,2.3458690560836146,2.3424706878906627,2.3853883693617597,-1.1772134911387169
2020-09-19,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-09-20,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-09-21,-1.4562106933547723,-1.3169973342171348,-1.3169971599321058,-1.3169971599321058,-1.3169971599321058,2.1937851708733267,2.3650637663581526,2.32075841343117,2.151243281075631,-1.3558518842654883
2020-09-22,-1.4148044039204803,-1.3087047594221906,-1.3087045895290776,-1.3087045895290776,-1.3087045895290776,2.185596557778314,2.2102358459819142,2.1829204904109054,2.196561685260043,-1.3275430678683497
2020-09-23,-1.3927797818809637,-1.3096261566216285,-1.309625986240525,-1.309625986240525,-1.309625986240525,2.0616378974779495,2.1697293617996167,2.143698317193757,2.099654405871992,-1.2914249228099313
2020-09-24,-1.3795650086572537,-1.3031763762255608,-1.3031762092603925,-1.3031762092603925,-1.3031762092603925,2.1157109805019125,2.049762422583753,2.0831841070872996,2.068587072185823,-1.2728777672393923
2020-09-25,-1.4086375097494164,-1.299490787427808,-1.2994906224146026,-1.2994906224146026,-1.2994906224146026,2.0564141270552687,2.104806077047502,2.066934921040195,2.074002478975155,-1.2777585976526917
2020-09-26,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2020-09-27,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
