Date,bitcoin_Price,bitcoin_Open,bitcoin_High,bitcoin_Low,brent-daily_Price,dubai-crude_Price,dubai-crude_Open,dubai-crude_High,dubai-crude_Low,Gold-Price_Price,Gold-Price_Open,Gold-Price_High,Gold-Price_Low,wti-daily_Price
2015-12-13,433.9739990234375,431.6600036621094,441.6799926757813,426.26800537109375,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-14,438.7989959716797,433.2720031738281,447.1419982910156,430.45599365234375,36.51,35.33,35.33,35.33,35.33,25256.0,25518.0,25539.0,25241.0,36.31
2015-12-15,454.59950256347656,443.87799072265625,465.3210144042969,443.87799072265625,37.66,35.33,35.33,35.33,35.33,25173.0,25256.0,25317.0,25111.0,37.32
2015-12-16,454.5295104980469,465.2080078125,465.2080078125,443.85101318359375,36.96,34.83,34.83,34.83,34.83,25372.0,25235.0,25400.0,25122.0,35.55
2015-12-17,453.35899353027344,454.7770080566406,457.8599853515625,448.8580017089844,36.29,34.65,34.65,34.65,34.65,24766.0,25302.0,25302.0,24671.0,34.98
2015-12-18,460.0585021972656,455.8469848632813,465.177001953125,454.9400024414063,36.76,34.59,34.59,34.59,34.59,25011.0,24802.0,25146.0,24781.0,34.72
2015-12-19,461.1730041503906,463.552001953125,465.58099365234375,456.7650146484375,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-20,448.4915008544922,462.2340087890625,462.6449890136719,434.3380126953125,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-21,436.0205078125,442.8380126953125,444.72900390625,427.31201171875,35.34,34.32,34.32,34.32,34.32,25302.0,25067.0,25335.0,25051.0,34.55
2015-12-22,439.60198974609375,437.4360046386719,443.68798828125,435.5159912109375,35.26,34.38,34.38,34.38,34.38,25176.0,25242.0,25316.0,25155.0,36.12
2015-12-23,440.57398986816406,436.7200012207031,444.5289916992188,436.6189880371094,35.79,34.61,34.61,34.61,34.61,25004.0,25150.0,25170.0,24992.0,36.76
2015-12-24,450.76649475097656,443.0910034179688,458.45599365234375,443.0769958496094,37.22,34.73,34.73,34.73,34.73,25147.0,25040.0,25180.0,25035.0,37.62
2015-12-25,455.1900024414063,454.8550109863281,458.3049926757813,452.0750122070313,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-26,431.62451171875,455.7560119628906,457.489013671875,405.760009765625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-27,416.4449920654297,416.5140075683594,424.0069885253906,408.8829956054688,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-12-28,424.125,423.3429870605469,429.7690124511719,418.4809875488281,37.08,34.58,34.58,34.58,34.58,25077.0,25136.0,25142.0,25062.0,36.36
2015-12-29,426.8050079345703,422.0979919433594,432.9830017089844,420.62701416015625,36.85,34.66,34.66,34.66,34.66,25106.0,25129.0,25243.0,25092.0,37.88
2015-12-30,428.2355041503906,433.2999877929688,434.3869934082031,422.0840148925781,35.65,34.57,34.57,34.57,34.57,25017.0,25175.0,25224.0,25003.0,36.59
2015-12-31,425.8279876708984,425.875,432.9209899902344,418.7349853515625,36.61,34.59,34.59,34.59,34.59,24952.0,25032.0,25058.0,24880.0,37.13
2016-01-01,431.8805084228516,430.7210083007813,436.2460021972656,427.5150146484375,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,24943.0,24976.0,25071.0,24900.0,53.14956150341686
2016-01-02,433.9660034179688,434.62200927734375,436.06201171875,431.8699951171875,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-03,429.22450256347656,433.5780029296875,433.7430114746094,424.70599365234375,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-04,431.8005065917969,430.0610046386719,434.5169982910156,429.0840148925781,36.28,32.1,32.1,32.1,32.1,25423.0,25234.0,25505.0,25030.0,36.81
2016-01-05,431.9290008544922,433.0690002441406,434.1820068359375,429.6759948730469,35.56,30.85,30.85,30.85,30.85,25430.0,25360.0,25486.0,25360.0,35.97
2016-01-06,429.0984954833984,431.8559875488281,431.8559875488281,426.3410034179688,33.89,28.99,28.99,28.99,28.99,25756.0,25440.0,25789.0,25421.0,33.97
2016-01-07,443.92149353027344,430.010986328125,458.7659912109375,429.0769958496094,33.57,29.0,29.0,29.0,29.0,26106.0,25800.0,26130.0,25780.0,33.29
2016-01-08,455.4359893798828,457.5379943847656,462.9339904785156,447.93798828125,31.67,29.16,29.16,29.16,29.16,25989.0,26035.0,26095.0,25785.0,33.2
2016-01-09,450.7645111083984,453.3829956054688,454.6400146484375,446.8890075683594,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-10,444.3300018310547,448.2380065917969,448.3089904785156,440.35101318359375,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2016-01-11,447.2584991455078,448.697998046875,450.6619873046875,443.8550109863281,30.14,27.86,27.86,27.86,27.86,25877.0,26075.0,26110.0,25831.0,31.42
