,Price,Open,High,Low
2015-06-14,233.43099975585935,232.44200134277344,234.8580017089844,232.0039978027344
2015-06-15,235.6289978027344,233.4219970703125,237.83599853515625,233.4219970703125
2015-06-16,243.93199920654297,236.76499938964844,251.74200439453125,236.1219940185547
2015-06-17,251.66449737548828,250.822998046875,256.8529968261719,246.4759979248047
2015-06-18,248.11750030517575,249.4279937744141,252.1080017089844,244.1269989013672
2015-06-19,247.3820037841797,249.04299926757807,250.9770050048828,243.78700256347656
2015-06-20,243.22750091552732,244.52999877929688,245.8280029296875,240.6269989013672
2015-06-21,243.5530014038086,245.1000061035156,245.2239990234375,241.8820037841797
2015-06-22,245.84800720214844,243.968994140625,247.91700744628903,243.7790069580078
2015-06-23,245.21849822998047,246.927001953125,247.3040008544922,243.13299560546875
2015-06-24,242.4280014038086,244.2819976806641,244.34100341796875,240.51499938964844
2015-06-25,241.84850311279297,240.3650054931641,243.33200073242188,240.3650054931641
2015-06-26,242.650993347168,242.60400390625,243.74899291992188,241.5529937744141
2015-06-27,247.2280044555664,243.5489959716797,251.3390045166016,243.11700439453125
2015-06-28,249.3030014038086,250.9550018310547,251.1719970703125,247.4340057373047
2015-06-29,252.8769989013672,248.7209930419922,257.1730041503906,248.58099365234372
2015-06-30,261.9065017700196,257.0360107421875,267.86700439453125,255.9459991455078
2015-07-01,260.4729995727539,263.3450012207031,265.1719970703125,255.7740020751953
2015-07-02,257.8735046386719,258.552001953125,261.6310119628906,254.11599731445312
2015-07-03,255.2910003662109,255.45899963378903,257.0769958496094,253.5050048828125
2015-07-04,257.82849884033203,256.4909973144531,261.4570007324219,254.1999969482422
2015-07-05,266.60350036621094,260.80499267578125,274.5060119628906,258.70098876953125
2015-07-06,272.51100158691406,271.1080017089844,277.4219970703125,267.6000061035156
2015-07-07,268.0865020751953,269.9630126953125,271.34100341796875,264.8320007324219
2015-07-08,268.6784973144531,265.98199462890625,272.97100830078125,264.385986328125
2015-07-09,269.7104949951172,270.8269958496094,272.3349914550781,267.08599853515625
2015-07-10,281.6965026855469,269.156005859375,294.59100341796875,268.802001953125
2015-07-11,291.0180053710937,284.8800048828125,298.5060119628906,283.5299987792969
2015-07-12,303.4495086669922,293.1400146484375,314.3940124511719,292.5050048828125
2015-07-13,295.9794921875,310.8269958496094,310.947998046875,281.010986328125
2015-07-14,291.3925018310547,292.03399658203125,296.1470031738281,286.63800048828125
2015-07-15,289.3074951171875,288.0450134277344,293.2479858398437,285.36700439453125
