,Price,Open,High,Low
2015-03-24,26350.0,26180.0,26389.0,26140.0
2015-03-25,26491.0,26313.0,26519.0,26219.0
2015-03-26,26805.0,26519.0,26991.0,26519.0
2015-03-27,26564.0,26774.0,26774.0,26381.0
2015-03-28,,,,
2015-03-29,,,,
2015-03-30,26239.0,26468.0,26468.0,26200.0
2015-03-31,26061.0,26200.0,26310.0,26020.0
2015-04-01,26510.0,26122.0,26800.0,26060.0
2015-04-02,26548.0,26601.0,26697.0,26460.0
2015-04-03,,,,
2015-04-04,,,,
2015-04-05,,,,
2015-04-06,26941.0,26625.0,27038.0,26625.0
2015-04-07,26829.0,26925.0,26928.0,26801.0
2015-04-08,26682.0,26842.0,26873.0,26615.0
2015-04-09,26452.0,26612.0,26612.0,26410.0
2015-04-10,26703.0,26482.0,26750.0,26452.0
2015-04-11,,,,
2015-04-12,,,,
2015-04-13,26616.0,26703.0,26730.0,26550.0
2015-04-14,26454.0,26569.0,26569.0,26300.0
2015-04-15,26644.0,26450.0,26680.0,26388.0
2015-04-16,26533.0,26644.0,26740.0,26472.0
2015-04-17,26702.0,26530.0,26730.0,26520.0
2015-04-18,,,,
2015-04-19,,,,
2015-04-20,26719.0,26699.0,26849.0,26670.0
2015-04-21,26803.0,26745.0,26820.0,26632.0
2015-04-22,26489.0,26778.0,26848.0,26459.0
2015-04-23,26777.0,26515.0,26792.0,26461.0
2015-04-24,26574.0,26734.0,26839.0,26521.0
2015-04-25,,,,
2015-04-26,,,,
2015-04-27,26944.0,26624.0,26980.0,26588.0
2015-04-28,27036.0,26969.0,27059.0,26833.0
2015-04-29,27096.0,26985.0,27140.0,26953.0
2015-04-30,26593.0,27056.0,27148.0,26500.0
2015-05-01,26483.0,26572.0,26572.0,26300.0
2015-05-02,,,,
2015-05-03,,,,
2015-05-04,26747.0,26580.0,27114.0,26580.0
2015-05-05,26852.0,26734.0,27060.0,26640.0
2015-05-06,26928.0,26950.0,27070.0,26835.0
2015-05-07,26951.0,26904.0,27050.0,26862.0
2015-05-08,26903.0,26960.0,27019.0,26825.0
2015-05-09,,,,
2015-05-10,,,,
2015-05-11,26853.0,26898.0,26969.0,26786.0
2015-05-12,27180.0,26899.0,27225.0,26892.0
2015-05-13,27539.0,27131.0,27569.0,27063.0
2015-05-14,27444.0,27465.0,27599.0,27370.0
2015-05-15,27473.0,27417.0,27500.0,27260.0
2015-05-16,,,,
2015-05-17,,,,
2015-05-18,27629.0,27518.0,27695.0,27513.0
2015-05-19,27309.0,27565.0,27599.0,27266.0
2015-05-20,27299.0,27280.0,27370.0,27205.0
2015-05-21,27130.0,27280.0,27339.0,27108.0
2015-05-22,27105.0,27144.0,27327.0,27071.0
2015-05-23,,,,
2015-05-24,,,,
2015-05-25,27180.0,27112.0,27197.0,27101.0
2015-05-26,26917.0,27154.0,27227.0,26884.0
2015-05-27,26900.0,26929.0,26994.0,26856.0
2015-05-28,26899.0,26877.0,26950.0,26760.0
2015-05-29,26866.0,26900.0,26949.0,26820.0
2015-05-30,,,,
2015-05-31,,,,
2015-06-01,26690.0,26926.0,27014.0,26133.0
2015-06-02,26856.0,26743.0,26929.0,26730.0
2015-06-03,26806.0,26908.0,27000.0,26775.0
2015-06-04,26564.0,26840.0,26869.0,26454.0
2015-06-05,26439.0,26599.0,26613.0,26371.0
2015-06-06,,,,
2015-06-07,,,,
2015-06-08,26693.0,26691.0,26749.0,26621.0
2015-06-09,26754.0,26715.0,26817.0,26665.0
2015-06-10,26850.0,26750.0,26958.0,26730.0
2015-06-11,26772.0,26864.0,26864.0,26681.0
2015-06-12,26773.0,26770.0,26860.0,26725.0
2015-06-13,,,,
2015-06-14,,,,
